CODFILIAL;NUMPED;CNPJ_FORNECEDOR;FORNECEDOR;CNPJ_CLIENTE;CLIENTE;TOTAL_FATURADO;VALOR_DEVOLVIDO
1;82107195;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;20.804.303/0001-74;FARMACIA PROVIDA LTDA;3057,63;
1;82107196;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;09.621.926/0002-50;PROVIDA LTDA;2143,88;
1;82107197;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;29.080.220/0001-54;PROVIDA FARMACIA LTDA;1191,96;
1;82107198;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;35.777.583/0001-46;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;1681,13;
1;82107199;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;44.800.105/0001-09;FARMACIA PROVIDA LTDA;1158,93;
1;82107200;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;27.089.559/0001-96;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;2778,54;
1;82107201;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;23.549.116/0007-75;DROGARIA CARNEIRO LTDA;1927,82;
1;82107202;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;23.549.116/0001-80;DROGARIA CARNEIRO LTDA;443,3;
1;82107203;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;23.549.116/0007-75;DROGARIA CARNEIRO LTDA;591,14;
1;82107204;14408399000582;KLEY HERTZ DISTRIBUIDORA LTDA;25.086.630/0001-51;FARMACIA MENORPRECO LTDA ME;1083,82;
1;82107205;02456955000183;NATULAB LABORATORIO LTDA;20.804.303/0001-74;FARMACIA PROVIDA LTDA;550,15;
1;82107206;02456955000183;NATULAB LABORATORIO LTDA;25.086.630/0001-51;FARMACIA MENORPRECO LTDA ME;2538,99;
1;82107207;02456955000183;NATULAB LABORATORIO LTDA;23.549.116/0001-80;DROGARIA CARNEIRO LTDA;1233,94;
1;82107208;02456955000183;NATULAB LABORATORIO LTDA;23.549.116/0005-03;DROGARIA CARNEIRO LTDA F 5;1098,46;
1;82107209;02456955000183;NATULAB LABORATORIO LTDA;23.549.116/0007-75;DROGARIA CARNEIRO LTDA;998,57;
1;82107210;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;05.624.211/0001-19;FARMACIA ESPERANCA DIVINA LTDA;2793,74;
1;82107212;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;05.624.211/0002-08;FARMACIA ESPERANCA DIVINA LTDA;3950,69;
1;82107216;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;05.624.211/0003-80;FARMACIA ESPERANCA DIVINA LTDA;1476,95;
1;82107217;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;53.975.654/0001-05;FCIA CENTER POPULAR LTDA;624,23;
1;82107218;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;05.624.211/0005-42;FARMACIA ESPERANCA DIVINA LTDA;820,54;
1;82107219;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;05.624.211/0006-23;FARMACIA ESPERANCA DIVINA LTDA;674,04;
1;82107220;60659463000191;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;10.483.865/0001-00;FARMACIAS E DROGARIAS FELIX LTDA;1027,8;
1;82107223;03485572000104;GEOLAB IND FARMACEUTICA S/A;25.086.630/0001-51;FARMACIA MENORPRECO LTDA ME;1478,11;
1;82107224;57507378001418;EMS S/A;09.621.926/0001-79;PROVIDA LTDA;450,07;8,62
1;82107225;57507378001418;EMS S/A;27.089.559/0001-96;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;9553,32;
1;82107226;57507378001418;EMS S/A;20.804.303/0001-74;FARMACIA PROVIDA LTDA;6716,25;
1;82107227;57507378001418;EMS S/A;09.621.926/0002-50;PROVIDA LTDA;7500,95;
1;82107228;57507378001418;EMS S/A;29.080.220/0001-54;PROVIDA FARMACIA LTDA;4899,08;
1;82107229;57507378001418;EMS S/A;35.777.583/0001-46;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;3489,91;
1;82107230;57507378001418;EMS S/A;44.800.105/0001-09;FARMACIA PROVIDA LTDA;2164,15;166,08
1;82107231;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);25.086.630/0001-51;FARMACIA MENORPRECO LTDA ME;1676,34;
1;82107232;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);25.086.630/0001-51;FARMACIA MENORPRECO LTDA ME;250,19;
1;82107233;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;05.624.211/0003-80;FARMACIA ESPERANCA DIVINA LTDA;7781,0;
1;82107234;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;53.975.654/0001-05;FCIA CENTER POPULAR LTDA;2556,71;
1;82107235;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;05.624.211/0005-42;FARMACIA ESPERANCA DIVINA LTDA;5969,79;
1;82107236;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;09.621.926/0001-79;PROVIDA LTDA;1003,93;
1;82107237;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;20.804.303/0001-74;FARMACIA PROVIDA LTDA;3062,62;
1;82107238;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;05.624.211/0006-23;FARMACIA ESPERANCA DIVINA LTDA;6686,98;
1;82107239;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;09.621.926/0002-50;PROVIDA LTDA;4204,73;
1;82107240;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;29.080.220/0001-54;PROVIDA FARMACIA LTDA;3533,59;
1;82107241;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;35.777.583/0001-46;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;1686,82;
1;82107242;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;10.483.865/0001-00;FARMACIAS E DROGARIAS FELIX LTDA;2865,08;
1;82107243;17159229000176;LABORATORIO TEUTO BRASILEIRO S/A;27.089.559/0001-96;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;3261,66;341,55
1;82107244;45992062000165;GERMED FARMACEUTICA LTDA;46.838.837/0001-05;FONTENELE MEDICAMENTOS LTDA  EPP;678,57;
1;82107245;57507378001418;EMS S/A;23.549.116/0005-03;DROGARIA CARNEIRO LTDA F 5;726,67;
1;82107246;57507378001418;EMS S/A;23.549.116/0001-80;DROGARIA CARNEIRO LTDA;1083,85;
1;82107247;57507378001418;EMS S/A;23.549.116/0007-75;DROGARIA CARNEIRO LTDA;893,04;
1;82107248;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);09.621.926/0001-79;PROVIDA LTDA;2253,26;
1;82107249;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);09.621.926/0002-50;PROVIDA LTDA;6216,67;
1;82107250;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);20.804.303/0001-74;FARMACIA PROVIDA LTDA;8600,18;
1;82107251;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);27.089.559/0001-96;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;7164,83;
1;82107252;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);29.080.220/0001-54;PROVIDA FARMACIA LTDA;2387,15;
1;82107253;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);35.777.583/0001-46;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;4872,39;
1;82107254;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);44.800.105/0001-09;FARMACIA PROVIDA LTDA;3472,69;
1;82107255;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);00.366.966/0001-47;POUPEFARMA COMERCIO VAREJISTA DE MEDICAMENTOS LTDA;1295,14;
1;82107256;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);00.366.966/0002-28;POUPEFARMA COMERCIO VAREJISTA DE MEDICAMENTOS LTDA LJ 15;735,02;
1;82107257;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);03.031.045/0001-11;IMPERATRIZ COMERCIO DE MEDICAMENTOS LTDA EPP;1092,5;
1;82107258;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);03.188.680/0001-07;DROGARIA ULTRAPOPULAR CANINDE LTDA;736,46;
1;82107259;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);03.924.507/0001-20;DROGARIA ULTRAPOPULAR ITAPIPOCA LTDA;3221,75;
1;82107260;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);05.573.812/0001-40;POUPEFARMA AMONTADA LTDA L18;669,98;
1;82107261;61286647001007;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);06.789.068/0001-88;DROGARIA ULTRAPOPULAR DE SOBRAL LOJA 1 LTDA;331,07;
