fornecedor_nome;fornecedor_cnpj;cliente_nome;cliente_cnpj;total_valor_pedido;total_pedidos_qtd
SOFTYS BRASIL LTDA;44145845001112;FARMACIA POPULAR CENTRAL 2;50.271.577/0001-06;25882.61;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;FARMACIA DA PRACA;07.219.651/0008-92;425.10;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;39353170000195;FARMAROSSI;37.582.243/0001-95;5034.00;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;39710427000208;DROGARIA FEITOSA;22.423.646/0001-14;1601.55;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;FARMACIA DR NAHIN;31.763.657/0001-34;1657.11;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;DROG SOUSA;05.154.607/0001-40;3242.00;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;MEDMAIS POPULAR;42.093.768/0004-40;5432.08;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA PORTELA EIRELI;30.046.598/0001-10;18838.20;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;I FARMA;37.766.309/0001-05;2224.20;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;HIPER POPULAR DROGARIAS;32.811.520/0001-70;1027.56;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;FARMACIA NATURALE;37.877.903/0003-27;614.86;1
EMS S/A;57507378000365;DROG SOUSA;05.154.607/0001-40;11057.44;1
NEOQUIMICA;02932074004260;FCIA PLANTAO;00.185.869/0001-58;125931.00;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARM.MEDICAL;05.130.530/0001-78;3138.00;1
EMS S/A;57507378000365;ELLO DISTRIBUIDORA DE MEDICAMENTOS EIRELI;03.748.673/0002-01;18142.86;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;FARMACIA IDEAL;26.893.718/0001-48;1323.89;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;FARMACIA DO MIGUEL;07.987.257/0001-28;6615.19;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;FARMACIA SANTOS;24.302.049/0001-67;1000.58;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;DROGARIA ULTRA POPULAR;31.637.134/0002-22;1724.42;1
GERMED FARMACEUTICA LTDA;45992062000165;DROGARIA N S APARECIDA;23.477.292/0003-15;5000.00;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;39353170000195;FARMACIA DO POVO;06.284.732/0001-37;2759.82;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;39710427000208;LOJA 7;03.924.507/0001-20;25000.00;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;DROG VILA PALMEIRA;05.170.176/0001-05;2314.73;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;C E D COMERCIAL LTDA;41.931.131/0001-70;6769.76;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;MERCANTIL DLS DE ALIMENTOS;15.710.708/0002-94;1017.89;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;39710427000208;VITTA FARMA POPULAR;47.718.529/0001-09;2006.28;1
NEOQUIMICA;02932074004260;DROGARIAS ULTRA POPULAR;10.783.115/0001-53;53107.00;2
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;DROGARIAS FEITOSA;09.035.562/0001-45;564.65;1
MILI S/A;78908266000205;M C CARVALHO COMERCIO FARMACEUTICO LTDA;03.250.587/0001-85;15000.00;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;DROGARIA FROTA;00.721.237/0001-61;1123.00;1
LABORATORIO GLOBO LTDA;17115437000173;VARGEMFARMA;45.416.600/0001-73;5188.98;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA SANTA TERESINHA II;17.259.132/0002-16;10065.09;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA ZILMA;29.520.980/0001-35;10125.64;1
ACCUMED PROD MED HOSP LTDA;06105362000123;FARMACIA VITORIA;11.601.156/0001-44;11591.00;1
ACCUMED PROD MED HOSP LTDA;06105362000123;FARMACIA NOGUEIRA;30.193.565/0001-01;618.93;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;COEMDIBRA;35.033.257/0001-24;1453.02;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;DROGARIA FRANCILIO FILIAL 2;07.159.873/0003-52;8328.98;1
EMS S/A;57507378000365;J & P COMERCIO DE MEDICAMENTOS LTDA ME;22.968.331/0001-52;1850.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;FARMACIA CAVALCANTE;70.084.694/0001-78;81800.00;1
NATULAB LABORATORIO LTDA;02456955000183;A R DE OLIVEIRA - ME;21.523.336/0001-09;5663.00;1
NATULAB LABORATORIO LTDA;02456955000183;FARMACIA ZILMA;29.520.980/0001-35;1808.08;1
HYPERA PP E CH;02932074002801;FARMACIA SANTA CECILIA;01.722.309/0003-10;5369.70;1
NEOQUIMICA;02932074004260;DEUSAFARMA FARMACIA LTDA ME;40.781.566/0001-12;4354.05;1
LOLLY BABY PRODUTOS INFANTIS L;62367032000187;BARBARA ANANDA COSTA CAMPOS AVELINO;41.176.485/0001-56;2411.01;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMACIA POPULAR;09.605.539/0002-20;1122.50;1
EMS S/A;57507378000365;FARMACIA BEM ESTAR;40.689.487/0001-86;2094.57;1
WELLA BRASIL LTDA;37374821000360;DROGARIA FEITOSA;41.237.006/0001-64;2000.00;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;CENTRAL POPULAR SANTA QUITERIA LTDA;53.989.923/0001-84;653.40;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA MENOR PRECO;08.662.214/0001-35;22861.12;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;SUPERFARMA;10.477.798/0005-44;3293.82;1
LABORATORIO GLOBO LTDA;17115437000173;PHARMAFACIL DRUGSTORE EIRELI;30.216.302/0001-62;2039.71;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;FARMACIA J. C.;31.685.884/0001-99;1697.42;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;POP FARMA;45.354.264/0001-81;6750.00;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;TELEFARMA;34.186.975/0001-78;2054.48;1
SOFTYS BRASIL LTDA;44145845001112;POP FARMA;49.616.599/0001-81;50389.50;1
NEOQUIMICA;02932074004260;HIPER POPULAR;53.922.385/0001-00;1289.75;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMACIA ROMAO;07.323.454/0001-42;1294.84;1
NATULAB LABORATORIO LTDA;02456955000183;FARMACIA MODERNA;07.864.812/0001-24;1797.94;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;FARM G3;27.042.036/0001-94;5758.80;1
EMS S/A;57507378000365;FARMA POPULAR;41.173.706/0001-32;1208.30;1
TORRENT DO BRASIL LTDA;33078528000132;JOSE WILKER MARTINS DA SILVA;34.035.700/0001-33;1531.64;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;N C LIMA SUPERMERCADOS LTDA;23.544.299/0005-74;9126.33;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;L A L DE AGUIAR  ME;38.073.496/0001-04;2469.36;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;FARMACIA MINI PRECO;46.392.732/0001-75;3589.92;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;DROGARIAS ULTRA POPULAR ;35.812.253/0003-06;2621.22;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;FARMACIA NOGUEIRA;30.193.565/0001-01;310.00;1
SOFTYS BRASIL LTDA;44145845001112;JOSE WILKER MARTINS DA SILVA;34.035.700/0001-33;25474.01;1
EMS S/A;57507378000365;FARMACIA PADRE CICERO;03.013.540/0003-60;7324.64;1
EMS S/A;57507378000365;FARMACIA SAO MIGUEL;15.601.070/0001-72;7480.57;2
NEOQUIMICA;02932074004260;RICARDO DIAS CARDOSO;19.202.750/0001-74;5000.40;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA MUTTI;18.681.698/0003-85;2352.00;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;BARBARA ANANDA COSTA CAMPOS AVELINO;41.176.485/0001-56;3800.00;1
NEOQUIMICA;02932074004260;TOTAL DISTRIBUIDORA (MA);24.299.152/0001-03;5275.01;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIAS NORDESTE;38.347.965/0003-90;3749.76;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMACIA PACATUBA;05.225.479/0001-88;1747.88;1
NATULAB LABORATORIO LTDA;02456955000183;S S FARMACIAS LTDA;27.237.427/0002-45;4001.47;1
ACCUMED PROD MED HOSP LTDA;06105362000123;FARMA POPULAR;41.173.706/0001-32;2303.66;1
NEOQUIMICA;02932074004260;FARMA POPULAR ACARAU LTDA;28.129.082/0001-98;20000.00;1
TORRENT DO BRASIL LTDA;33078528000132;B B BEZERRA & CIA LTDA-ME;05.625.651/0001-90;2279.52;1
NATULAB LABORATORIO LTDA;02456955000183;R A MACIELCOMERCIAL DE MEDICAMENTOS LTDA;40.908.728/0001-30;1509.29;1
LABORATORIO GLOBO LTDA;17115437000173;FARMACIA ESTILO;03.884.139/0001-33;469.20;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;39353170000195;COMERCIAL DE MEDICAMENTOS SOLONOPOLE LTDA;28.843.195/0001-50;4770.20;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;CENTRAL POPULAR SANTA QUITERIA LTDA;53.989.923/0001-84;560.83;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;FARMACIA DONATO;23.573.561/0001-85;1084.48;1
SOFTYS BRASIL LTDA;44145845001112;CENTRAL POPULAR;25.021.596/0006-41;57388.00;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;39353170000195;FARMACIA MINAS BAHIA;31.159.256/0001-70;8025.00;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;39710427000208;FARMACIA SARA SOUSA VIANA LTDA;21.390.664/0001-84;1108.41;1
EMS S/A;57507378000365;HIPER POPULAR DROGARIAS;47.872.238/0001-70;7068.08;2
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;FARMACIA VITORIA;46.143.532/0003-40;3376.49;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMACIA DO TRABALHADOR DE CARIRI;30.317.496/0001-92;3221.97;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;DROGARIA POPULAR HOLANDA;29.415.943/0001-67;1580.80;1
LABORATORIO GLOBO LTDA;17115437000173;FORTE FARMA;39.999.662/0001-52;2851.80;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;SOCORRO FARMACEUTICO;13.681.504/0001-66;841.82;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;FARMACIA DUDA & GABI;13.051.924/0001-69;21039.60;1
HIDROLIGHT DO BRASIL S.A;08762826000280;DROGARIA FEITOSA;41.237.006/0001-64;708.48;1
ACCUMED PROD MED HOSP LTDA;06105362000123;FARMA VITOR;19.789.052/0001-17;1236.92;1
MILI S/A;78908266000205;REBEKA NEVES DE MENEZES ME;17.527.312/0001-50;3905.84;1
MILI S/A;78908266000205;SUPERMERCADO MORANGUINHO LTDA;11.659.770/0008-33;15729.26;1
LOLLY BABY PRODUTOS INFANTIS L;62367032000187;SILVA E GALVAO LTDA ME;07.272.180/0004-52;2110.47;1
LOLLY BABY PRODUTOS INFANTIS L;62367032000187;SUPERMERCADO MORANGUINHO LTDA;11.659.770/0013-09;16373.59;1
NEOQUIMICA;02932074004260;FARMACIA A LARANJINHA;24.186.019/0001-32;2010.03;1
EMS S/A;57507378000365;FARMACIA ALTAIR;63.550.974/0001-69;3058.18;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;FARMACIA DR NAHIN;31.763.657/0002-15;4074.56;1
TORRENT DO BRASIL LTDA;33078528000132;J I ARAUJO MEDICAMENTOS;05.965.043/0001-25;1730.05;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMACIA SAO JOSE IPU EIRELI;33.714.468/0001-05;834.66;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA GENTIL;06.039.028/0003-80;10152.00;1
KIMBERLY-CLARK BRASIL IND.E CO;02290277002507;FARMALOPES;43.554.466/0001-41;5319.12;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;ELLO DISTRIBUIDORA DE MEDICAMENTOS EIRELI;03.748.673/0002-01;2645.30;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;FARMACIA LOCAL;63.556.906/0001-07;2178.01;1
SOFTYS BRASIL LTDA;44145845001112;SUPERFARM POPULAR;26.012.717/0001-47;26233.80;1
HYPERA PP E CH;02932074002801;ARAUJO E ANDRADE EMPREENDIMENT;15.033.761/0001-17;13567.21;1
KIMBERLY-CLARK BRASIL IND.E CO;02290277002507;DROGARIA ULTRA POPULAR;31.637.134/0002-22;11726.87;1
EMS S/A;57507378000365;FARMACIA GENTIL;06.039.028/0001-19;6500.80;2
KIMBERLY-CLARK BRASIL IND.E CO;02290277002507;FARMACIA MEDICAMENTOS REGIS;11.582.612/0001-56;1801.30;1
MILI S/A;78908266000205;SUPERMERCADO  MORANGUINHO;11.659.770/0002-48;20257.63;1
WELLA BRASIL LTDA;37374821000360;SUPERMERCADO MORANGUINHO;11.659.770/0009-14;11000.00;1
EMS S/A;57507378000365;FARMACIA FARMAZIL;45.219.959/0001-50;2026.98;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;DROGARIA A FAVORITA;17.291.284/0001-15;16808.47;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;GRUPO TOTAL;30035710000118;249948.84;39
NEOQUIMICA;02932074004260;FARMACIA DR NAHIN;31.763.657/0002-15;4049.48;1
NEOQUIMICA;02932074004260;MEDMAIS POPULAR;42.093.768/0004-40;21292.00;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;39710427000208;FARMACIA MEDICAMENTOS REGIS;11.582.612/0001-56;1010.40;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;39353170000195;JOSE LEONARDO F LTDA;51.741.264/0001-37;1310.94;1
NEOQUIMICA;02932074004260;JOSE WELLIGTON DA SILVA EIRELI;26.243.996/0001-50;10411.08;1
ACCUMED PROD MED HOSP LTDA;06105362000123;BIG FARMA;47.278.149/0001-09;3119.89;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;FARMACIA DO TRABALHADOR DO NORDESTE;38.347.965/0002-09;3082.20;2
NEOQUIMICA;02932074004260;DROGARIA CRISTHUS;11.770.310/0001-01;5040.15;1
NEOQUIMICA;02932074004260;BIG FARMA;47.278.149/0001-09;3768.40;1
NATULAB LABORATORIO LTDA;02456955000183;DROG VILA PALMEIRA;05.170.176/0001-05;1058.38;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FCIA POPULAR;12.365.566/0001-04;4500.00;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;FARMACIA PADRE CICERO;08.601.302/0001-27;2004.54;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);06302685001006;N C LIMA SUPERMERCADOS LTDA;23.544.299/0005-74;7390.65;1
GERMED FARMACEUTICA LTDA;45992062000165;HIPER FARMA;37.199.738/0001-30;1083.00;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);06302685001006;SUPERMERCADO MORANGUINHO LTDA;11.659.770/0013-09;22175.13;1
NATULAB LABORATORIO LTDA;02456955000183;FARMACIA NOSSA SENHORA APARECIDA;17.843.783/0001-78;0.00;1
TORRENT DO BRASIL LTDA;33078528000132;DROGARIAS ULTRA POPULAR ;35.812.253/0003-06;2596.25;1
LOLLY BABY PRODUTOS INFANTIS L;62367032000187;DROGATEL FCIA;02.378.654/0002-60;3572.23;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;SUPERFARMA;10.477.798/0001-10;7300.00;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;FARMACIA DO MIGUEL;07.987.257/0001-28;3399.95;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA GENTIL - GRENDENE;06.039.028/0005-42;4794.00;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;FARMACIA NOGUEIRA;41.697.044/0001-08;1245.96;1
ACCUMED PROD MED HOSP LTDA;06105362000123;FORTE FARMA;39.999.662/0001-52;6902.94;2
